sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs,link_margin_energy_pass,failed_energy_link_margin,bytes_per_joule
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1751,0,0,0,0,179,172,8.95,54.643712,4.447744,556.285696,0.000000,5,20,56.867584,20.014848,54.14
8,125,0,433,200,0.563712,1,0.563712,2000,1127.424000,24,1747,0,0,0,0,229,229,11.45,129.090048,13.529088,984.804864,0.000000,5,20,129.090048,0.000000,40.62
9,125,0,433,200,1.004544,1,1.004544,2000,2009.088000,44,1730,27,0,27,0,204,199,10.20,199.904256,44.199936,1737.861120,27.122688,5,20,232.049664,0.000000,19.81
10,125,0,433,200,1.845248,1,1.845248,1995,3681.269760,74,1702,87,0,87,0,145,132,7.27,243.572736,136.548352,3140.612096,160.536576,5,20,428.097536,0.000000,7.17
11,125,0,433,200,4.018176,1,4.018176,1991,8000.188416,159,1621,140,0,139,1,92,71,4.62,285.290496,638.889984,6513.463296,562.544640,5,20,932.216832,0.000000,1.77
12,125,0,433,200,7.217152,1,7.217152,1989,14354.915328,280,1514,221,0,220,1,17,17,0.85,122.691584,2020.802560,10926.768128,1594.990592,5,20,1717.682176,0.000000,0.24
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1751,0,0,0,0,179,172,8.95,54.643712,4.447744,556.285696,0.000000,5,20,56.867584,20.014848,54.14
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1751,0,0,0,0,179,172,8.95,54.643712,4.447744,556.285696,0.000000,5,20,56.867584,20.014848,54.14
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1749,0,0,0,0,185,172,9.25,54.643712,4.447744,555.650304,0.000000,5,20,58.773760,20.650240,54.14
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1749,0,0,0,0,185,172,9.25,54.643712,4.447744,555.650304,0.000000,5,20,58.773760,20.650240,54.14
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1721,0,0,0,0,208,202,10.40,64.174592,4.447744,546.754816,0.000000,5,20,66.080768,20.014848,63.58
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1522,0,0,0,0,371,340,18.55,108.016640,4.447744,483.533312,0.000000,10,20,117.865216,39.394304,107.02
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1721,0,0,0,0,208,202,10.40,64.174592,4.447744,546.754816,0.000000,5,20,66.080768,20.014848,63.58
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1721,0,0,0,0,208,202,10.40,64.174592,4.447744,546.754816,0.000000,5,20,66.080768,20.014848,63.58
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1749,0,0,0,0,185,172,9.25,54.643712,4.447744,555.650304,0.000000,5,20,58.773760,20.650240,54.14
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1749,0,0,0,0,185,172,9.25,54.643712,4.447744,555.650304,0.000000,5,20,58.773760,20.650240,54.14
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1749,0,0,0,0,151,115,7.55,36.535040,4.447744,555.650304,0.000000,5,20,47.972096,38.758912,36.20
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,429,3,0,0,3,488,488,24.40,155.035648,4.447744,136.291584,0.953088,50,20,155.988736,696.707328,153.61
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1721,0,0,0,0,32,32,1.60,10.166272,4.447744,546.754816,0.000000,5,20,10.166272,88.637184,10.07
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1522,0,0,0,0,200,59,10.00,18.744064,4.447744,483.533312,0.000000,10,20,63.539200,128.666880,18.57
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1358,1,0,0,1,276,69,13.80,21.921024,4.447744,431.431168,0.317696,15,20,88.001792,177.274368,21.72
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1137,1,0,0,1,276,276,13.80,87.684096,4.447744,361.220352,0.317696,20,20,88.001792,270.359296,86.88
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,1036,1,0,0,1,346,346,17.30,109.922816,4.447744,329.133056,0.317696,25,20,110.240512,335.169280,108.91
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,429,3,0,0,3,488,488,24.40,155.035648,4.447744,136.291584,0.953088,50,20,155.988736,696.707328,153.61
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,83,3,0,0,3,688,688,34.40,218.574848,4.447744,26.368768,0.953088,100,20,219.527936,1230.118912,216.56
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,8,0,0,0,0,1961,1374,98.05,436.514304,4.447744,2.541568,0.000000,200,20,623.001856,191.888384,432.49
7,125,0,433,200,0.317696,1,0.317696,2000,635.392000,14,8,0,0,0,0,1961,1374,98.05,436.514304,4.447744,2.541568,0.000000,200,20,623.001856,191.888384,432.49
7,125,0,433,200,0.317696,1.0,0.317696,2000,635.392000,28,1719,0,0,0,0,198,196,9.90,62.268416,8.895488,546.119424,0.000000,5,20,62.903808,18.108672,61.69
7,125,0,433,200,0.317696,1.0,0.317696,2000,635.392000,28,1719,198,0,0,198,0,0,0.00,0.000000,8.895488,546.119424,62.903808,5,20,62.903808,19.697152,0.00
7,125,0,433,200,0.317696,1.0,0.317696,2000,635.392000,28,1719,0,0,0,0,198,196,9.90,62.268416,8.895488,546.119424,0.000000,5,20,62.903808,18.108672,61.69
12,125,0,433,200,7.217152,1.0,7.217152,1984,14318.829568,542,1241,200,0,200,0,8,1,0.40,7.217152,3911.696384,8956.485632,1443.430400,5,20,1501.167616,0.000000,0.01
12,125,0,433,200,7.217152,1.0,7.217152,1984,14318.829568,542,1241,200,0,200,0,8,1,0.40,7.217152,3911.696384,8956.485632,1443.430400,5,20,1501.167616,0.000000,0.01
12,125,0,433,200,7.217152,1.0,7.217152,1984,14318.829568,542,1361,83,0,83,0,5,5,0.25,36.085760,3911.696384,9822.543872,599.023616,2,20,635.109376,0.000000,0.07
12,125,0,433,200,7.217152,1.0,7.217152,1984,14318.829568,542,1361,83,0,83,0,5,5,0.25,36.085760,3911.696384,9822.543872,599.023616,2,20,635.109376,0.000000,0.07
12,125,0,433,200,7.217152,1.0,7.217152,1984,14318.829568,542,1241,200,0,200,0,8,1,0.40,7.217152,3911.696384,8956.485632,1443.430400,5,20,1501.167616,0.000000,0.01
12,125,0,433,200,7.217152,1.0,7.217152,1984,14318.829568,542,1240,206,0,206,0,4,4,0.20,28.868608,3911.696384,8949.268480,1486.733312,5,20,1515.601920,0.000000,0.06
12,125,0,433,200,7.217152,1.0,7.217152,1984,14318.829568,542,1241,200,0,200,0,8,1,0.40,7.217152,3911.696384,8956.485632,1443.430400,5,20,1501.167616,0.000000,0.01
