sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs
7,31.25,0,915,200,1.270784,1,1.270784,1999,2540.297216,52,1723,273,183,26,1,0,0,0.00,0.000000,66.080768,2189.560832,346.924032,5,20
8,31.25,0,915,200,2.254848,1,2.254848,1995,4498.421760,84,1694,266,113,26,1,0,0,0.00,0.000000,189.407232,3819.712512,599.789568,5,20
9,31.25,0,915,200,4.018176,1,4.018176,1991,8000.188416,159,1621,257,39,24,1,0,0,0.00,0.000000,638.889984,6513.463296,1032.671232,5,20
10,31.25,0,915,200,7.380992,1,7.380992,1989,14680.793088,282,1512,241,0,22,1,0,0,0.00,0.000000,2081.439744,11160.059904,1778.819072,5,20
11,31.25,0,915,200,13.451264,1,13.451264,1984,26687.307776,509,1299,213,0,18,1,0,0,0.00,0.000000,6846.693376,17473.191936,2865.119232,5,20
12,31.25,0,915,200,24.936448,1,24.936448,1974,49224.548352,799,1048,153,0,14,1,0,0,0.00,0.000000,19924.221952,26133.397504,3815.276544,5,20
12,31.25,0,915,200,24.936448,1,24.936448,1974,49224.548352,799,1048,153,0,0,153,0,0,0.00,0.000000,19924.221952,26133.397504,3815.276544,5,20
12,31.25,0,915,200,24.936448,1,24.936448,1974,49224.548352,799,1048,153,0,0,153,0,0,0.00,0.000000,19924.221952,26133.397504,3815.276544,5,20
12,31.25,0,915,200,24.936448,1,24.936448,1974,49224.548352,799,1048,153,0,0,153,0,0,0.00,0.000000,19924.221952,26133.397504,3815.276544,5,20
12,31.25,0,915,200,24.936448,1,24.936448,1974,49224.548352,799,1048,46,0,8,0,0,0,0.00,0.000000,19924.221952,26133.397504,1147.076608,5,20
12,31.25,0,915,200,24.936448,1,24.936448,1974,49224.548352,799,1048,55,0,11,0,0,0,0.00,0.000000,19924.221952,26133.397504,1371.504640,5,20
11,125,0,915,200,4.018176,1,4.018176,1991,8000.188416,159,1621,92,0,92,0,0,0,0.00,0.000000,638.889984,6513.463296,369.672192,5,20
11,125,0,915,200,4.018176,1,4.018176,1991,8000.188416,159,1621,92,0,92,0,0,0,0.00,0.000000,638.889984,6513.463296,369.672192,5,20
11,125,0,915,200,4.018176,1,4.018176,1991,8000.188416,159,1621,192,0,191,1,51,19,2.56,76.345344,638.889984,6513.463296,771.489792,5,20
11,125,0,915,200,4.018176,1,4.018176,1991,8000.188416,159,1621,92,0,92,0,0,0,0.00,0.000000,638.889984,6513.463296,369.672192,5,20
11,125,0,915,200,4.018176,1,4.018176,1991,8000.188416,159,1621,92,0,92,0,0,0,0.00,0.000000,638.889984,6513.463296,369.672192,5,20
11,125,0,915,200,4.018176,1,4.018176,1991,8000.188416,159,1621,192,0,191,1,51,19,2.56,76.345344,638.889984,6513.463296,771.489792,5,20
11,125,0,915,50,1.314816,1,1.314816,1999,2628.317184,52,1723,137,0,136,1,110,87,5.50,114.388992,68.370432,2265.427968,180.129792,5,20
8,125,0,915,50,0.174592,1,0.174592,2000,349.184000,4,1761,0,0,0,0,89,65,4.45,11.348480,0.698368,307.456512,0.000000,5,20
