sf,bw,ldro,freqMHz,pkt_len,pkt_toa,tx_power,pkt_energy,total_pkt,total_energy,collided,non_visible,doppler_error,ds_error,dr_error,doppler_except_count,succes_rec_pkt,succes_rec_tx,final_pdr,succes_energy_trans,failed_energy_col,failed_energy_vis,failed_energy_dop,num_sats,num_devs,link_margin_energy_pass,failed_energy_link_margin,bytes_per_joule
12,125,1,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,297,0,0,297,0,0,0.00,0.000000,172.605440,4204.175360,732.340224,5,20,732.340224,0.000000,0.00
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,500,1232.896000,6,444,4,0,4,0,47,46,9.40,113.426432,14.794752,1094.811648,9.863168,5,20,125.755392,0.000000,1.90
12,125,2,433,51,2.465792,1.0,2.465792,1000,2465.792000,18,867,12,0,12,0,105,103,10.50,253.976576,44.384256,2137.841664,29.589504,5,20,288.497664,0.000000,2.13
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,2000,4931.584000,70,1705,24,0,24,0,208,201,10.40,495.624192,172.605440,4204.175360,59.179008,5,20,572.063744,0.000000,2.08
12,125,2,433,51,2.465792,1.0,2.465792,800,1972.633600,14,704,7,0,7,0,76,75,9.50,184.934400,34.521088,1735.917568,17.260544,5,20,204.660736,0.000000,1.94
12,125,2,433,51,2.465792,1.0,2.465792,1100,2712.371200,32,947,11,0,11,0,112,110,10.18,271.237120,78.905344,2335.105024,27.123712,5,20,303.292416,0.000000,2.07
12,125,2,433,51,2.465792,1.0,2.465792,1100,2712.371200,32,947,11,0,11,0,112,110,10.18,271.237120,78.905344,2335.105024,27.123712,5,20,303.292416,0.000000,2.07
12,125,2,433,51,2.465792,1.0,2.465792,1100,2712.371200,32,947,11,0,11,0,112,110,10.18,271.237120,78.905344,2335.105024,27.123712,5,20,303.292416,0.000000,2.07
